City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,ivangorod,59.3716,28.2162,7.69,63,85,2.13,RU,1683855706
142,fuglafjordur,62.244,-6.814,8.26,83,0,1.82,FO,1683862846
143,lexington,37.9887,-84.4777,23.38,69,100,0.0,US,1683801086
144,waajid,3.8096,43.2463,23.91,78,100,5.9,SO,1683860097
145,noosa heads,-26.3833,153.15,22.41,55,10,6.86,AU,1683836211
146,flying fish cove,-10.4217,105.6791,25.82,94,100,6.17,CX,1683846230
147,west island,-12.1568,96.8225,28.99,79,40,8.23,CC,1683848495
148,namibe,-15.1961,12.1522,22.75,75,12,2.8,AO,1683869069
149,yuzhno-kurilsk,44.0306,145.8556,6.33,67,9,4.17,RU,1683831290
150,tobruk,32.0836,23.9764,17.69,85,1,3.32,LY,1683862149
151,bougouni,11.417,-7.479,31.31,17,93,2.07,ML,1683871659
152,kambia,9.1167,-12.9167,26.79,83,47,2.66,SL,1683873152
153,tommot,58.9564,126.2925,-0.25,93,100,3.07,RU,1683832362
154,huinca renanco,-34.8404,-64.3758,14.23,74,13,4.08,AR,1683802882
155,bisert',56.8617,59.0523,3.41,80,22,2.47,RU,1683849195
156,carauari,-4.8828,-66.8958,23.13,99,100,0.19,BR,1683800808
157,prince rupert,54.3161,-130.3201,14.05,50,100,9.26,CA,1683809044
158,uturoa,-16.7333,-151.4333,26.11,81,100,5.9,PF,1683822048
159,baise city,23.8997,106.6133,21.57,87,100,0.55,CN,1683843181
160,nur-sultan,51.1801,71.446,7.97,71,40,6.0,KZ,1683847751
161,hammerfest,70.6634,23.6821,6.25,93,100,7.72,NO,1683846830
162,malanje,-9.5402,16.341,15.48,63,3,1.36,AO,1683867603
163,olovyannaya,50.95,115.5667,8.36,40,80,8.38,RU,1683837225
164,yanchep,-31.55,115.6833,12.94,53,31,4.14,AU,1683845728
165,kununurra,-15.7667,128.7333,21.99,35,5,3.6,AU,1683841131
166,karbala,32.616,44.0249,28.52,17,0,3.72,IQ,1683857279
167,arraial do cabo,-22.9661,-42.0278,22.87,73,97,4.67,BR,1683796323
168,peniche,39.3558,-9.3811,15.72,82,0,12.07,PT,1683869230
169,afaahiti,-17.75,-149.2833,27.93,89,100,9.95,PF,1683821617
170,jiayuguan,39.8167,98.3,15.68,16,0,2.88,CN,1683843339
171,campos gerais,-21.235,-45.7586,16.21,88,31,0.8,BR,1683797065
172,kedrovyy,56.1667,91.8167,7.23,68,97,2.85,RU,1683841559
173,baki,-7.6128,110.7839,25.21,86,69,0.31,ID,1683844782
174,villers-cotterets,49.2531,3.09,11.81,95,72,2.5,FR,1683864558
175,letlhakeng,-24.0944,25.0298,15.14,40,0,1.15,BW,1683866756
176,peterhead,57.5058,-1.7981,9.22,92,94,2.46,GB,1683863567
177,susuman,62.7833,148.1667,3.13,76,87,1.02,RU,1683825452
178,uvalde,29.3669,-99.767,31.74,58,40,3.6,US,1683805775
179,maloye ganyushkino,46.6,49.2667,10.14,68,15,5.54,KZ,1683854004
180,coquimbo,-29.9533,-71.3436,12.85,100,0,1.54,CL,1683804029
181,longyearbyen,78.2186,15.6401,-4.09,80,75,4.63,SJ,0
182,usogorsk,63.4106,48.6872,7.12,94,99,2.99,RU,1683848940
183,minas de marcona,-15.2119,-75.1103,14.77,84,24,4.84,PE,1683803600
184,antofagasta,-23.65,-70.4,15.6,82,12,1.38,CL,1683803196
185,college,64.8569,-147.8028,16.16,46,75,4.63,US,1683808919
186,namsos,64.4662,11.4957,9.03,87,100,1.03,NO,1683857221
187,kill devil hills,36.0307,-75.676,21.66,58,0,6.69,US,1683799228
188,san andres,12.5847,-81.7006,30.01,74,40,4.63,CO,1683802988
189,labytnangi,66.6572,66.4183,-11.28,97,97,1.64,RU,1683842478
190,nadi,-17.8,177.4167,30.0,58,20,4.63,FJ,1683829615
191,el bauga,18.262,33.9081,29.99,9,36,4.19,SD,1683861144
192,qamdo,31.1667,97.2333,-2.64,66,100,2.0,CN,1683844680
193,souillac,-20.5167,57.5167,24.21,78,40,3.6,MU,1683858633
194,aberdeen,57.1437,-2.0981,9.27,95,100,2.57,GB,1683863759
195,whitehorse,60.7161,-135.0538,15.57,31,75,8.23,CA,1683808028
196,taro,-8.3862,115.28,23.0,95,95,2.16,ID,1683843764
197,happy valley-goose bay,53.3168,-60.3315,11.17,25,20,0.0,CA,1683792528
198,lebu,-37.6167,-73.65,12.58,95,75,1.95,CL,1683805438
199,viedma,-40.8135,-62.9967,15.28,43,81,7.12,AR,1683803292
200,tsuruoka,38.7217,139.8217,13.89,50,0,1.66,JP,1683833534
201,bay city,43.5945,-83.8889,26.0,34,0,3.09,US,1683800125
202,balqash,46.8481,74.995,18.63,38,100,2.53,KZ,1683847789
203,sidi merouane,36.5206,6.2611,15.71,91,82,0.72,DZ,1683865860
204,ketchikan,55.3422,-131.6461,11.26,82,100,6.69,US,1683809077
205,anar darah,32.7587,61.654,23.7,24,17,3.4,AF,1683853034
206,tsiombe,-25.3,45.4833,22.92,74,100,0.83,MG,1683861958
207,salekhard,66.53,66.6019,-13.33,98,99,1.67,RU,1683842541
208,guarda,40.5373,-7.2658,5.13,71,0,2.67,PT,1683868553
209,kingston,17.997,-76.7936,28.53,83,20,11.32,JM,1683801352
210,boguchany,58.3814,97.4531,7.14,45,100,1.08,RU,1683839481
211,keflavik,64.0049,-22.5624,8.24,100,100,11.32,IS,1683865659
212,madimba,-10.4,40.3333,23.58,92,18,3.17,TZ,1683861913
213,kuanda,56.3161,116.0806,2.66,62,58,2.58,RU,1683835698
214,aykhal,66.0,111.5,-0.4,97,100,7.21,RU,1683832218
215,vernon,50.2581,-119.2691,25.34,39,57,1.79,CA,1683807370
216,port alfred,-33.5906,26.891,16.77,97,89,6.34,ZA,1683867272
217,at taraf,25.3628,49.725,29.11,26,31,2.47,SA,1683856686
218,katsuura,35.1333,140.3,17.67,58,100,3.65,JP,1683833885
219,poltavka,54.3663,71.7632,4.78,74,31,4.43,RU,1683846883
220,usinsk,65.9939,57.5281,-0.34,98,100,6.28,RU,1683845141
221,igarka,67.4667,86.5833,-14.35,87,17,7.86,RU,1683836918
222,pacasmayo,-7.4006,-79.5714,23.95,79,68,5.9,PE,1683804047
223,galle,6.0367,80.217,26.31,89,100,4.04,LK,1683851049
224,ban houakhoua,20.2453,100.4547,23.86,95,93,0.54,LA,1683845000
225,raahe,64.6833,24.4833,10.05,78,12,5.64,FI,1683853973
226,nantucket,41.2835,-70.0995,18.03,66,75,2.06,US,1683797175
227,onega,63.9061,38.1404,4.63,97,91,2.01,RU,1683851182
